farsi,english,pronunciation,level
امتناع‌کردن,to refrain; refuse,emtenâ' kardan,C1
اصرار,insistence,esrâr,C1
اصرار‌کردن,to insist,esrâr kardan,C1
اصرارورزیدن,to persist,esrâr varzidan,C1
پافشاری,persistence,pâfeshâri,C1
پافشاری‌کردن,to persist,pâfeshâri kardan,C1
انعطاف‌پذیری,flexibility,en'etâf-paziri,C1
انعطاف‌ناپذیر,inflexible,en'etâf-napazir,C1
سازگاری,adaptability,sâzegâri,C1
سازگار,compatible;sâzegâr,C1
ناسازگار,incompatible,nâsâzegâr,C1
انطباق,adaptation; conformity,entebâq,C1
انطباق‌دادن,to adapt,entebâq dâdan,C1
تطبیق,matching; adaptation,tatbiq,C1
تطبیق‌دادن,to match; adapt,tatbiq dâdan,C1
هماهنگ‌کردن,to coordinate,hamâhang kardan,C1
متعادل,balanced,mota'âdel,C1
تعادل,balance,ta'âdol,C1
عدم‌تعادل,imbalance,adam-e ta'âdol,C1
افراط,excess,efrât,C1
تفریط,negligence; deficiency,tafrit,C1
میانه‌روی,moderation,miyâne-ravi,C1
اعتدال,moderation,e'tedâl,C1
افزایش,increase,afzâyesh,C1
افزایش‌یافتن,to increase,afzâyesh yâftan,C1
کاهش,decrease,kâhesh,C1
کاهش‌یافتن,to decrease,kâhesh yâftan,C1
گسترش,expansion,gostaresh,C1
گسترش‌یافتن,to expand,gostaresh yâftan,C1
توسعه,development,towse'e,C1
توسعه‌یافتن,to develop,towse'e yâftan,C1
رشد,growth,roshd,C1
رکود,stagnation; recession,rokud,C1
نزول,decline,nozul,C1
صعود,rise; ascent,so'ud,C1
پیشرفت,progress,pishraft,C1
پیشروی,advancement,pishravi,C1
عقب‌ماندگی,backwardness,aqab-mândegi,C1
پسرفت,regression,pasraft,C1
بهبود,improvement,behbud,C1
بهبود‌یافتن,to improve,behbud yâftan,C1
وخامت,deterioration,vakhâmat,C1
بدتر‌شدن,to worsen,badtar shodan,C1
تقویت,reinforcement,taqviyat,C1
تقویت‌کردن,to strengthen,taqviyat kardan,C1
تضعیف,weakening,taz'if,C1
تضعیف‌کردن,to weaken,taz'if kardan,C1
حفظ,preservation,hefz,C1
حفظ‌کردن,to preserve,hefz kardan,C1
صیانت,protection;safeguarding,seyânat,C1
پشتیبانی,support,poshtibâni,C1
پشتیبانی‌کردن,to support,poshtibâni kardan,C1
حمایت,support; advocacy,hemâyat,C1
حمایت‌کردن,to support,hemâyat kardan,C1
